Tipo de Tabela;Tamanho Inicial do Vetor;Tamanho Final do Vetor;Tamanho do Conjunto;Tempo de Inserção;Quantidade de Colisões;Tempo de Busca;Primeira Lista;Segunda Lista;Terceira Lista;Maior Gap;Menor Gap; Media de Gaps
Multiplicação Knuth;1000;1000;100000;39;2502783;70;130;128;128;0;0;0
Multiplicação Knuth;1000;1000;1000000;19307;249683049;44225;1110;1103;1094;0;0;0
Multiplicação Knuth;1000;1000;10000000;1218374;24996731630;1261470;10365;10319;10292;0;0;0
Multiplicação Knuth;10000;10000;100000;51;250410;63;28;23;23;0;0;0
Multiplicação Knuth;10000;10000;1000000;2999;24968554;5274;142;140;138;0;0;0
Multiplicação Knuth;10000;10000;10000000;81171;2499631329;97152;1132;1130;1127;0;0;0
Multiplicação Knuth;100000;100000;100000;20;25082;8;7;7;7;10;1;1
Multiplicação Knuth;100000;100000;1000000;566;2496087;474;27;26;25;1;1;1
Multiplicação Knuth;100000;100000;10000000;16268;249945422;26609;147;147;146;0;0;0
Primo Grande;1000;1000;100000;71;2503879;238;136;134;129;0;0;0
Primo Grande;1000;1000;1000000;25418;249692152;55616;1084;1080;1075;0;0;0
Primo Grande;1000;1000;10000000;997499;24996837158;586838;10325;10322;10299;0;0;0
Primo Grande;10000;10000;100000;21;251223;31;24;23;23;0;0;0
Primo Grande;10000;10000;1000000;3153;24970469;7744;141;137;136;0;0;0
Primo Grande;10000;10000;10000000;103705;2499630491;119709;1120;1117;1115;0;0;0
Primo Grande;100000;100000;100000;14;25099;5;7;7;7;12;1;1
Primo Grande;100000;100000;1000000;473;2496225;390;27;27;26;1;1;1
Primo Grande;100000;100000;10000000;15886;249938325;17816;149;146;141;0;0;0
Hash Duplo;1000;256000;100000;30;139480;5;-1;-1;-1;26;1;2
Hash Duplo;1000;2048000;1000000;165;1283130;127;-1;-1;-1;19;1;2
Hash Duplo;1000;16384000;10000000;1891;12700465;899;-1;-1;-1;17;1;1
Hash Duplo;10000;160000;100000;8;123079;3;-1;-1;-1;11;1;1
Hash Duplo;10000;2560000;1000000;127;1408028;72;-1;-1;-1;26;1;2
Hash Duplo;10000;20480000;10000000;2153;12808682;795;-1;-1;-1;23;1;2
Hash Duplo;100000;200000;100000;7;83644;3;-1;-1;-1;20;1;1
Hash Duplo;100000;1600000;1000000;125;1238494;75;-1;-1;-1;14;1;1
Hash Duplo;100000;25600000;10000000;2048;13994039;690;-1;-1;-1;31;1;2
